@ NAME             %07s "MYTABLE"
@ TYPE             %04s "USER"
@ TITLE            %08s "no-title"
@ ORIGIN           %17s "5.03.06 Darwin 64"
@ DATE             %08s "18/04/18"
@ TIME             %08s "11.22.15"
*                DP0                 QX                 QY 
$                %le                %le                %le 
              -0.01       0.3013086955       0.3595148185
             -0.009       0.2954946122       0.3515611056
             -0.008       0.2897307786       0.3436892346
             -0.007       0.2840169501       0.3358995392
             -0.006        0.278352883       0.3281923497
             -0.005       0.2727383341       0.3205679933
             -0.004       0.2671730609       0.3130267935
             -0.003       0.2616568219       0.3055690703
             -0.002       0.2561893762       0.2981951402
             -0.001       0.2507704839       0.2909053159
                  0       0.2453999062       0.2836999065
              0.001       0.2400774052       0.2765792175
              0.002       0.2348027441       0.2695435502
              0.003       0.2295756872       0.2625932024
              0.004       0.2243960001       0.2557284676
              0.005       0.2192634494       0.2489496356
              0.006       0.2141778032        0.242256992
              0.007       0.2091388309       0.2356508183
              0.008       0.2041463033       0.2291313918
              0.009       0.1991999926       0.2226989857
