#	Qy	beta_x_ptc	beta_x	beta_x_eff	beta_y_ptc	beta_y	beta_y_eff	alpha_x_ptc	alpha_x	alpha_x_eff	alpha_y_ptc	alpha_y	alpha_y_eff	D_x_ptc	D_x	D_y_ptc	D_y
6.1	12.795	12.978897614692942	16.399643328701455	22.226	22.441656898777918	22.441660467539055	-0.006969	-0.008542321435374077	-0.006603168973470234	0.059026	0.06844254358311236	0.06844292345217966	2.542529021	2.393293685868165	0.0	-0.000330262997011967
6.11	12.792	12.97843141557872	16.399672797562957	22.216	22.426516466201946	22.426516498674374	-0.007001	-0.008585791653042569	-0.006637800836782531	0.05864	0.06722246382316444	0.06722288503952396	2.54230112	2.393311543623514	0.0	-0.00052231486879258
6.12	12.78866016	12.977104649269263	16.398492656359714	22.20287682	22.422016834897732	22.42201815049425	-0.007032	-0.008577980885931947	-0.006634160877584567	0.058305	0.06577349749494743	0.06577358857805153	2.542073286	2.3933150899659283	0.0	1.0557445713420655e-05
6.13	12.78549301	12.974812819963882	16.396595282956593	22.18837837	22.42274709701665	22.42274794183842	-0.007063	-0.008560073410755311	-0.006619273431247242	0.0580095	0.06448009141002388	0.06448007274527504	2.541845521	2.3932890881446274	0.0	-2.851903967213485e-05
6.14	12.78232607	12.972120743538126	16.394419983869156	22.17243442	22.42357631884601	22.423576024936082	-0.007095	-0.00852197558202484	-0.006590717971451758	0.057745	0.06319065264053346	0.06319069533372042	2.541617825	2.3932685021939615	0.0	-4.334891875121315e-05
6.15	12.77915936	12.968820841191548	16.391790741820408	22.15534784	22.424087207430347	22.42408771372716	-0.007126	-0.008498644823876567	-0.006571880041771843	0.057507	0.06216839370467959	0.06216837916002183	2.541390199	2.393182632833078	0.0	-0.00011813619792132676
6.16	12.77599288	12.96530440178695	16.389244180477203	22.13734538	22.42380686530713	22.42380735021257	-0.007157	-0.008480777829130516	-0.0065573574966036425	0.057291	0.061343932119284704	0.061343924152945276	2.541162643	2.393076238614416	0.0	-0.00039450477276193073
6.17	12.77282664	12.961742245876865	16.3840532155384	22.11859993	22.419128518548437	22.419128718776726	-0.007188	-0.008470864805868845	-0.006559388648089202	0.057093	0.060655900556557514	0.06065589797525296	2.540935158	2.392915127870506	0.0	-0.00012162539536287233
6.18	12.76966065	12.958007608128664	16.383637624191937	22.09924535	22.412712941842482	22.412712817578704	-0.00722	-0.00846654173709209	-0.006556001565466462	0.056912	0.06010435404607516	0.060104358961127376	2.540707745	2.3927899266874433	0.0	-2.9880820481325102e-05
6.19	12.76649491	12.954450366896717	16.386918030199315	22.07938659	22.402378381209132	22.402378382523917	-0.007251	-0.008471329322056456	-0.006555537654176883	0.056746	0.05964601007871413	0.05964600821240923	2.540480403	2.392662287440363	0.0	-2.3152126811576486e-05
6.2	12.76332945	12.951201911089592	16.398365881746184	22.05910677	22.389166610961563	22.389166595007804	-0.007282	-0.008486935079567177	-0.006561949913578318	0.056592	0.05926529534531468	0.05926528894204761	2.540253134	2.3925677795588287	0.0	6.61877509536167e-06
6.21	12.76016425	12.949072618728355	16.450102218464608	22.03847225	22.37110728311444	22.371107240308582	-0.007314	-0.008514230622718846	-0.006560679044651833	0.056449	0.05890345681729537	0.05890345319706261	2.540025937	2.392651202541624	0.0	4.9253216831075495e-06
6.22	12.75699934	12.947368835874023	16.537883330692463	22.01753625	22.35010394247391	22.350103888590958	-0.007345	-0.008551068797997684	-0.006547973798733643	0.056316	0.0585683495072155	0.05856834755884371	2.539798815	2.3929106695429154	0.0	-1.2780729118840607e-05
6.23	12.75383472	12.944212839024567	16.584891682391415	21.9963415	22.3311378413368	22.331137799312163	-0.007376	-0.008574868844414394	-0.006544493118569618	0.056193	0.058305510818309834	0.05830551149848529	2.539571766	2.3930584561476342	0.0	1.651024860056566e-05
6.24	12.7506704	12.940046986243479	16.580342005390758	21.97492223	22.314367373561744	22.314367326083858	-0.007408	-0.008590342327756106	-0.006543716821335703	0.056078	0.05810179426735689	0.058101794329956304	2.539344792	2.3929490493696033	0.0	-8.097683414336922e-06
