#	Qy	beta_x_ptc	beta_x	beta_x_eff	beta_y_ptc	beta_y	beta_y_eff	alpha_x_ptc	alpha_x	alpha_x_eff	alpha_y_ptc	alpha_y	alpha_y_eff	D_x_ptc	D_x	D_y_ptc	D_y
6.1	11.83456792	11.49778505297269	15.710605368486602	24.92373871	28.75775445834396	28.75775192656827	0.011513	0.02014978739106865	0.012644851468506755	-0.015862	-0.07598190386654523	-0.07598196321271491	2.858624854	2.7232670487812256	0.0	0.0003049303533906463
6.11	11.87596148	11.561142423712235	15.74998932503344	24.42660692	27.90144543045776	27.90144327689495	0.01069	0.01884353267781308	0.011795705104008927	-0.00566	-0.06027204495860171	-0.06027201135172064	2.844314013	2.7116367856049948	0.0	-0.00021647828752590061
6.12	11.91741726	11.621563324253549	15.790019178419428	24.02924164	27.212978421993824	27.21297651996161	0.009857	0.0176321165229806	0.01100325600368569	0.002752	-0.04710560230957663	-0.04710557877285298	2.829919074	2.699599403210768	0.0	2.2236469376601038e-05
6.13	11.95887931	11.685935519233954	15.83151804572612	23.70631133	26.553042781979897	26.55304104489769	0.009017	0.01632333418125009	0.010149996167453872	0.009781	-0.0343755121739445	-0.034375483839331825	2.815459752	2.6866790770377817	0.0	-0.00018742393285385114
6.14	12.00030736	11.751842101341309	15.86961293276943	23.44016924	25.951033704906294	25.951033036163466	0.00817	0.014992854402007878	0.00928048252626509	0.015724	-0.022682599980032053	-0.02268261926735312	2.800950597	2.673327070935468	0.0	0.0009018831296542939
6.15	12.04167193	11.814969760172527	15.904510613957743	23.21815984	25.466970667392626	25.46696919170875	0.007316	0.013722998740755193	0.008448673724070717	0.020797	-0.012833165361499773	-0.012833145001706799	2.786402598	2.6599658661567056	0.0	0.0001287717460281074
6.16	12.08295116	11.881700649427966	15.939350449676619	23.03097747	24.98572526966874	24.985723622357256	0.006457	0.012370060599780954	0.007574654580526849	0.025166	-0.003150414126168016	-0.0031503867159201958	2.771824228	2.6455621037343575	0.0	-0.0002843418052139658
6.17	12.12412865	11.95004290783458	15.97479314150711	22.87162883	24.5426713186873	24.5426696135551	0.005594	0.010974386278459366	0.006663824210617946	0.028959	0.0057881913916622545	0.005788212175304494	2.757222142	2.6305947070915603	0.0	-5.639666617722505e-05
6.18	12.16519202	12.019275059276143	16.01095739561755	22.7347561	24.14864962809185	24.148648315878603	0.004726	0.009550692532226783	0.005735752657165632	0.032276	0.013799265862888191	0.013799287735314048	2.742601663	2.6152952481238847	0.0	-5.102220215645195e-05
6.19	12.20613183	12.088030476076925	16.048774191404906	22.61618278	23.812528441798015	23.812527557415613	0.003854	0.008136163625900179	0.0048064881672725	0.035195	0.020722423649612087	0.020722433254504815	2.727967112	2.5997619799223886	0.0	-8.77117650922447e-05
6.2	12.24694093	12.155710632377403	16.0921404414761	22.51260139	23.52879541212273	23.52879451801074	0.002979	0.006746557075054912	0.003880113835522347	0.03778	0.026638655754386516	0.026638665411328432	2.71332205	2.5841333492637544	0.0	-6.350368017957502e-05
6.21	12.28761386	12.221621917895586	16.176265097150118	22.42135386	23.279974969296187	23.279974228289603	0.002101	0.005404514030477649	0.0029837332148536766	0.040084	0.03178723390800505	0.03178724321830304	2.698669456	2.568298718241905	0.0	1.1645739917172323e-05
6.22	12.32814649	12.286487536379424	16.29286163760987	22.34027393	23.06731554922815	23.06731503514897	0.001221	0.004084683524410341	0.0021002244922676268	0.04215	0.03618752176467799	0.036187528898691354	2.684011849	2.5524105212520656	0.0	-2.6525086555896508e-05
6.23	12.36853572	12.351762866387576	16.370096595082355	22.26757179	22.898782875976057	22.89878246769707	0.000338	0.002744221041003115	0.0012091034376650867	0.044012	0.03980909595245627	0.03980909915694671	2.66935139	2.536511996336176	0.0	-1.0174844481937915e-05
6.24	12.40877927	12.417282383224189	16.392990012027674	22.20174814	22.76466764380734	22.764667298265277	-0.000546	0.0014013797790392067	0.00032017183688930504	0.045702	0.042823804527384185	0.04282380791289604	2.654689951	2.5204240966552374	0.0	-9.055730919930321e-06
