#	Qy	beta_x_ptc	beta_x	beta_x_eff	beta_y_ptc	beta_y	beta_y_eff	alpha_x_ptc	alpha_x	alpha_x_eff	alpha_y_ptc	alpha_y	alpha_y_eff	D_x_ptc	D_x	D_y_ptc	D_y
6.1	12.795	11.154355086287083	15.036192296726835	22.226	28.00097260114171	28.00099930941172	-0.006969	0.02949069826245487	0.018240145739117787	0.059026	-0.06446878667230509	-0.06446906683918505	2.542529021	2.7960780365187192	0.0	0.0027557843928018104
6.11	12.792	11.216087768678484	15.018567159299332	22.216	27.220828849503263	27.220864455935022	-0.007001	0.02820014310498715	0.017519501767349274	0.05864	-0.04977983057868468	-0.04977674215276826	2.54230112	2.787104404586988	0.0	0.0010815855079172214
6.12	12.78866016	11.289146211551001	15.006884031846699	22.20287682	26.594038815424852	26.59403124970594	-0.007032	0.026689591265042178	0.01656991050757492	0.058305	-0.03750066678660156	-0.03750035594349184	2.542073286	2.777486037290679	0.0	-0.0017778405262731964
6.13	12.78549301	11.366787867704979	15.030218457716291	22.18837837	26.04111259820688	26.04110863201418	-0.007063	0.025041526041074746	0.01558964742406908	0.0580095	-0.02635419871224373	-0.02635416072841596	2.541845521	2.765824793889723	0.0	-0.0024231716245652632
6.14	12.78232607	nan	nan	22.17243442	nan	nan	-0.007095	nan	nan	0.057745	nan	nan	2.541617825	nan	0.0	nan
6.15	12.77915936	nan	nan	22.15534784	nan	nan	-0.007126	nan	nan	0.057507	nan	nan	2.541390199	nan	0.0	nan
6.16	12.77599288	11.606571986942395	15.192026470278698	22.13734538	24.800409328654403	24.80040728115292	-0.007157	0.019955772933666453	0.012353429568691801	0.057291	0.00019315432299057454	0.00019323286338084834	2.541162643	2.7257388006275742	0.0	-0.00043222352251104075
6.17	12.77282664	11.67887202408702	15.208683143939082	22.11859993	24.56549665538624	24.5654961175951	-0.007188	0.018602759458486197	0.011467674676294193	0.057093	0.006011388522674775	0.006011365893404353	2.540935158	2.712620422696133	0.0	0.00021436327030735383
6.18	12.76966065	nan	nan	22.09924535	nan	nan	-0.00722	nan	nan	0.056912	nan	nan	2.540707745	nan	0.0	nan
6.19	12.76649491	nan	nan	22.07938659	nan	nan	-0.007251	nan	nan	0.056746	nan	nan	2.540480403	nan	0.0	nan
6.2	12.76332945	nan	nan	22.05910677	nan	nan	-0.007282	nan	nan	0.056592	nan	nan	2.540253134	nan	0.0	nan
6.21	12.76016425	nan	nan	22.03847225	nan	nan	-0.007314	nan	nan	0.056449	nan	nan	2.540025937	nan	0.0	nan
6.22	12.75699934	nan	nan	22.01753625	nan	nan	-0.007345	nan	nan	0.056316	nan	nan	2.539798815	nan	0.0	nan
6.23	12.75383472	nan	nan	21.9963415	nan	nan	-0.007376	nan	nan	0.056193	nan	nan	2.539571766	nan	0.0	nan
6.24	12.7506704	nan	nan	21.97492223	nan	nan	-0.007408	nan	nan	0.056078	nan	nan	2.539344792	nan	0.0	nan
