#	Qy	beta_x_ptc	beta_x	beta_x_eff	beta_y_ptc	beta_y	beta_y_eff	alpha_x_ptc	alpha_x	alpha_x_eff	alpha_y_ptc	alpha_y	alpha_y_eff	D_x_ptc	D_x	D_y_ptc	D_y
6.1	12.795	11.494337478960023	15.660683408091675	22.226	28.942394937471885	28.94240188570484	-0.006969	0.02026341244995236	0.012865446849455477	0.059026	-0.07871086459294621	-0.07871054372526624	2.542529021	2.7250002593758866	0.0	-0.0010690670001491504
6.11	12.792	11.558788894990757	15.697989296465835	22.216	28.041890798454077	28.041886274950265	-0.007001	0.018936486970998447	0.011987041060274166	0.05864	-0.06242771115062606	-0.06242768894940788	2.54230112	2.713038269614178	0.0	-0.000836119847652039
6.12	12.78866016	11.622726618062446	15.741611442780062	22.20287682	27.290538534066094	27.290537020324997	-0.007032	0.017640464892012323	0.011149209976642593	0.058305	-0.04828916767157329	-0.04828915450342256	2.542073286	2.700624713440241	0.0	-6.14073995280062e-06
6.13	12.78549301	11.689717287322438	15.771064852496492	22.18837837	26.601465271601857	26.601483291830572	-0.007063	0.016345408966327697	0.010300600498140543	0.0580095	-0.03586880635697378	-0.035869011235669185	2.541845521	2.6882917910058484	0.0	-0.005212381827491579
6.14	12.78232607	11.751605890705806	15.806129539107799	22.17243442	26.059866718936863	26.059870203475064	-0.007095	0.015041568711578612	0.009436954982172103	0.057745	-0.0246072325166416	-0.024607373104699164	2.541617825	2.675489100417957	0.0	-0.002834196052982401
6.15	12.77915936	11.81260284462941	15.919503830127441	22.15534784	25.578070745772088	25.578070022181638	-0.007126	0.01379743922838593	0.008497984606686694	0.057507	-0.014591655603966261	-0.014591639477017262	2.541390199	2.6604698132410958	0.0	-0.00046621840529462014
6.16	12.77599288	11.879102566966067	15.950328517192402	22.13734538	25.062224289760852	25.062222578080434	-0.007157	0.012452508284055175	0.007620739286730607	0.057291	-0.004381432051368023	-0.004381406106142402	2.541162643	2.646221155054541	0.0	-7.93769507660955e-05
6.17	12.77282664	11.952724170626295	15.895530807535197	22.11859993	24.553310405934536	24.553309930420188	-0.007188	0.010942631963461	0.006767550827920774	0.057093	0.005612007535572974	0.005611977254821441	2.540935158	2.6317864625960485	0.0	0.0010073203989271417
6.18	12.76966065	12.018386976235028	16.019611958202507	22.09924535	24.181926984980024	24.181925827031314	-0.00722	0.009591416537095727	0.00577080460365274	0.056912	0.013296298599754017	0.013296299108155774	2.540707745	2.6153800153482303	0.0	-0.00011393653094579479
6.19	12.76649491	12.086829157303205	16.062215102006075	22.07938659	23.83717158356385	23.837170239023088	-0.007251	0.008177830006451357	0.004827893453945579	0.056746	0.020369974885588924	0.020369975740566138	2.540480403	2.5999461589860275	0.0	-7.88965487153303e-07
6.2	12.76332945	12.156050503012189	16.105231961072672	22.05910677	23.540388201795317	23.540387351318632	-0.007282	0.00675126248677677	0.0038900196940331324	0.056592	0.02647737909084436	0.026477388222447554	2.540253134	2.5839109018535042	0.0	5.247166912958397e-06
6.21	12.76016425	12.221043153219041	16.18117898951291	22.03847225	23.29201869330979	23.292017971341902	-0.007314	0.005436918160929272	0.003002829534830151	0.056449	0.03164004421243202	0.031640060964840996	2.540025937	2.5685279607871054	0.0	9.685729781223147e-05
6.22	12.75699934	12.286754764944831	16.29227046011221	22.01753625	23.076809858627442	23.07680931414295	-0.007345	0.004088462073292585	0.0020986929754591645	0.056316	0.03608717028396955	0.036087160557605545	2.539798815	2.552418301434235	0.0	-4.224386784159465e-06
6.23	12.75383472	12.353509813621905	16.270429508171127	21.9963415	22.896102076101908	22.896101809840257	-0.007376	0.0027296019131269624	0.0013001656528153938	0.056193	0.0398478764963673	0.03984787586154435	2.539571766	2.5370921555452854	0.0	-2.657839049124977e-07
6.24	12.7506704	12.418934849531059	16.29821388843302	21.97492223	22.762591792788673	22.762591646354156	-0.007408	0.0013672038440754922	0.0003882171501647266	0.056078	0.04286301893118936	0.04286302045035303	2.539344792	2.520767697306623	0.0	-2.9900433281462787e-05
