# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.038637	0.036955	0.000000	0.000000
2	-0.038631	0.036949	0.000000	0.000000
3	-0.038625	0.036943	0.000000	0.000000
4	-0.038619	0.036937	0.000000	0.000000
5	-0.038613	0.036932	0.000000	0.000000
6	-0.038607	0.036926	0.000000	0.000000
7	-0.038601	0.036920	0.000000	0.000000
8	-0.038595	0.036914	0.000000	0.000000
9	-0.038589	0.036909	0.000000	0.000000
10	-0.038583	0.036903	0.000000	0.000000
11	-0.038574	0.036895	0.000000	0.000000
12	-0.038565	0.036886	0.000000	0.000000
13	-0.038556	0.036877	0.000000	0.000000
14	-0.038547	0.036868	0.000000	0.000000
15	-0.038537	0.036859	0.000000	0.000000
16	-0.038528	0.036850	0.000000	0.000000
17	-0.038519	0.036841	0.000000	0.000000
18	-0.038510	0.036833	0.000000	0.000000
19	-0.038501	0.036824	0.000000	0.000000
20	-0.038491	0.036815	0.000000	0.000000
21	-0.038479	0.036803	0.000000	0.000000
22	-0.038465	0.036790	0.000000	0.000000
23	-0.038451	0.036777	0.000000	0.000000
24	-0.038438	0.036764	0.000000	0.000000
25	-0.038424	0.036751	0.000000	0.000000
26	-0.038411	0.036738	0.000000	0.000000
27	-0.038397	0.036725	0.000000	0.000000
28	-0.038384	0.036712	0.000000	0.000000
29	-0.038370	0.036699	0.000000	0.000000
30	-0.038356	0.036686	0.000000	0.000000
31	-0.038341	0.036671	0.000000	0.000000
32	-0.038325	0.036656	0.000000	0.000000
33	-0.038310	0.036641	0.000000	0.000000
34	-0.038294	0.036626	0.000000	0.000000
35	-0.038278	0.036611	0.000000	0.000000
36	-0.038263	0.036596	0.000000	0.000000
37	-0.038247	0.036581	0.000000	0.000000
38	-0.038231	0.036566	0.000000	0.000000
39	-0.038216	0.036551	0.000000	0.000000
40	-0.038200	0.036536	0.000000	0.000000
41	-0.038180	0.036517	0.000000	0.000000
42	-0.038159	0.036497	0.000000	0.000000
43	-0.038138	0.036477	0.000000	0.000000
44	-0.038117	0.036457	0.000000	0.000000
45	-0.038096	0.036436	0.000000	0.000000
46	-0.038075	0.036416	0.000000	0.000000
47	-0.038053	0.036396	0.000000	0.000000
48	-0.038032	0.036376	0.000000	0.000000
49	-0.038011	0.036356	0.000000	0.000000
50	-0.037990	0.036336	0.000000	0.000000
51	-0.037967	0.036313	0.000000	0.000000
52	-0.037942	0.036290	0.000000	0.000000
53	-0.037918	0.036267	0.000000	0.000000
54	-0.037894	0.036244	0.000000	0.000000
55	-0.037870	0.036221	0.000000	0.000000
56	-0.037845	0.036198	0.000000	0.000000
57	-0.037821	0.036175	0.000000	0.000000
58	-0.037797	0.036151	0.000000	0.000000
59	-0.037773	0.036128	0.000000	0.000000
60	-0.037749	0.036105	0.000000	0.000000
61	-0.037722	0.036080	0.000000	0.000000
62	-0.037694	0.036054	0.000000	0.000000
