# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.613984	25.554728	-0.007065	-0.014198	2.635766	0.000000	-0.006857	0.000000	0.000022	-0.000003	0.000000	0.000000
0.601250	11.626055	25.566835	-0.033005	-0.025989	2.633701	0.000000	-0.006857	0.000000	0.000021	-0.000003	0.000000	0.000000
0.898573	11.653293	25.585749	-0.030035	-0.100359	2.631663	0.000000	-0.013309	0.000000	0.000020	-0.000003	0.000000	0.000000
1.339533	11.829848	25.390199	-0.371873	0.542136	2.642160	0.000000	0.060959	0.000000	0.000019	-0.000002	0.000000	0.000000
1.780493	12.314201	24.636774	-0.730700	1.159963	2.685527	0.000000	0.135922	0.000000	0.000018	-0.000002	0.000000	0.000000
2.221453	13.128480	23.359755	-1.122912	1.725013	2.762260	0.000000	0.212432	0.000000	0.000018	-0.000001	0.000000	0.000000
2.662413	14.309889	21.617245	-1.566426	2.211576	2.873232	0.000000	0.291363	0.000000	0.000017	-0.000001	0.000000	0.000000
3.108373	15.932834	19.463040	-2.085739	2.598652	3.021537	0.000000	0.374101	0.000000	0.000017	-0.000000	0.000000	0.000000
3.657433	18.015458	17.043010	-1.684879	1.834951	3.201683	0.000000	0.281131	0.000000	0.000017	-0.000001	0.000000	0.000000
4.206493	19.589536	15.385353	-1.165009	1.201950	3.329338	0.000000	0.183175	0.000000	0.000016	-0.000001	0.000000	0.000000
4.755553	20.543882	14.371998	-0.562848	0.654562	3.402237	0.000000	0.081970	0.000000	0.000015	-0.000002	0.000000	0.000000
5.304613	20.811085	13.930765	0.079070	0.153796	3.419086	0.000000	-0.020689	0.000000	0.000014	-0.000002	0.000000	0.000000
5.603185	20.800621	13.823824	0.010346	0.167983	3.415577	0.000000	-0.011757	0.000000	0.000013	-0.000002	0.000000	0.000000
5.936519	20.799067	13.720100	-0.005681	0.143189	3.411658	0.000000	-0.011757	0.000000	0.000013	-0.000002	0.000000	0.000000
6.269852	20.808196	13.632905	-0.021708	0.118396	3.407740	0.000000	-0.011757	0.000000	0.000012	-0.000002	0.000000	0.000000
6.604435	20.828105	13.562005	-0.037795	0.093510	3.403808	0.000000	-0.011757	0.000000	0.000011	-0.000002	0.000000	0.000000
6.901758	20.854830	13.512975	-0.106576	0.106698	3.400313	0.000000	-0.002873	0.000000	0.000010	-0.000002	0.000000	0.000000
7.450818	20.616743	13.657743	0.537634	-0.371919	3.370734	0.000000	-0.104718	0.000000	0.000009	-0.000003	0.000000	0.000000
7.999878	19.687998	14.339464	1.143868	-0.877026	3.285664	0.000000	-0.204705	0.000000	0.000008	-0.000003	0.000000	0.000000
8.548938	18.134199	15.606698	1.669305	-1.444602	3.146613	0.000000	-0.301061	0.000000	0.000006	-0.000003	0.000000	0.000000
9.097998	16.065096	17.549705	2.076830	-2.115074	2.956047	0.000000	-0.392078	0.000000	0.000004	-0.000003	0.000000	0.000000
9.543958	14.450677	19.280878	1.556130	-1.750402	2.799332	0.000000	-0.311148	0.000000	0.000003	-0.000003	0.000000	0.000000
9.984918	13.279131	20.634374	1.110754	-1.307350	2.679201	0.000000	-0.234241	0.000000	0.000001	-0.000003	0.000000	0.000000
10.425878	12.476595	21.569312	0.716125	-0.804814	2.592362	0.000000	-0.160001	0.000000	-0.000000	-0.000003	0.000000	0.000000
10.866838	12.006402	22.043151	0.354213	-0.265660	2.537828	0.000000	-0.087585	0.000000	-0.000002	-0.000003	0.000000	0.000000
11.309048	11.846977	22.033754	0.037432	0.231487	2.514948	0.000000	-0.022333	0.000000	-0.000003	-0.000003	0.000000	0.000000
11.606371	11.832191	21.900328	0.012300	0.217270	2.508309	0.000000	-0.022333	0.000000	-0.000004	-0.000003	0.000000	0.000000
12.086371	11.839858	21.702767	-0.028273	0.194318	2.497591	0.000000	-0.022333	0.000000	-0.000005	-0.000003	0.000000	0.000000
12.566371	11.886475	21.527239	-0.068847	0.171365	2.486873	0.000000	-0.022333	0.000000	-0.000007	-0.000003	0.000000	0.000000
13.046371	11.972044	21.373745	-0.109420	0.148413	2.476155	0.000000	-0.022333	0.000000	-0.000008	-0.000003	0.000000	0.000000
13.526371	12.096562	21.242285	-0.149994	0.125461	2.465437	0.000000	-0.022333	0.000000	-0.000010	-0.000003	0.000000	0.000000
14.007621	12.260508	21.132603	-0.190673	0.102449	2.454690	0.000000	-0.022333	0.000000	-0.000012	-0.000003	0.000000	0.000000
14.304943	12.381363	21.075909	-0.185438	0.036541	2.448051	0.000000	-0.028337	0.000000	-0.000013	-0.000003	0.000000	0.000000
14.745903	12.703870	20.813397	-0.548714	0.556514	2.450864	0.000000	0.041099	0.000000	-0.000014	-0.000004	0.000000	0.000000
15.186863	13.356559	20.101766	-0.937058	1.051166	2.484369	0.000000	0.111003	0.000000	-0.000016	-0.000004	0.000000	0.000000
15.627823	14.369249	18.973396	-1.368214	1.497991	2.548948	0.000000	0.182171	0.000000	-0.000017	-0.000004	0.000000	0.000000
16.068783	15.788207	17.479627	-1.861879	1.876659	2.645337	0.000000	0.255414	0.000000	-0.000019	-0.000005	0.000000	0.000000
16.514743	17.702242	15.667117	-2.445417	2.170635	2.776258	0.000000	0.332016	0.000000	-0.000022	-0.000005	0.000000	0.000000
17.063803	20.161456	13.644826	-2.007026	1.534294	2.935543	0.000000	0.247332	0.000000	-0.000024	-0.000005	0.000000	0.000000
17.612863	22.058095	12.257563	-1.426869	1.007237	3.047056	0.000000	0.158260	0.000000	-0.000027	-0.000004	0.000000	0.000000
18.161923	23.258192	11.406514	-0.745925	0.551923	3.108820	0.000000	0.066382	0.000000	-0.000029	-0.000003	0.000000	0.000000
18.710983	23.676977	11.031063	-0.012293	0.135921	3.119738	0.000000	-0.026674	0.000000	-0.000030	-0.000002	0.000000	0.000000
19.009556	23.725055	10.940984	-0.086852	0.136949	3.114209	0.000000	-0.018520	0.000000	-0.000030	-0.000002	0.000000	0.000000
19.342889	23.787675	10.860030	-0.101008	0.105912	3.108037	0.000000	-0.018520	0.000000	-0.000031	-0.000002	0.000000	0.000000
19.676223	23.859731	10.799768	-0.115163	0.074874	3.101864	0.000000	-0.018520	0.000000	-0.000032	-0.000002	0.000000	0.000000
20.010806	23.941846	10.759956	-0.247993	0.097031	3.095687	0.000000	-0.003183	0.000000	-0.000032	-0.000002	0.000000	0.000000
20.308129	24.093233	10.710550	-0.324144	0.097130	3.094741	0.000000	0.004906	0.000000	-0.000033	-0.000002	0.000000	0.000000
20.857189	24.033268	10.821928	0.432711	-0.301181	3.072130	0.000000	-0.087151	0.000000	-0.000034	-0.000001	0.000000	0.000000
21.406249	23.154118	11.379844	1.159002	-0.720945	2.999324	0.000000	-0.177662	0.000000	-0.000034	-0.000000	0.000000	0.000000
21.955309	21.517881	12.424035	1.803427	-1.192061	2.877615	0.000000	-0.265021	0.000000	-0.000034	0.000001	0.000000	0.000000
22.504369	19.240134	14.028877	2.320467	-1.748084	2.709162	0.000000	-0.347680	0.000000	-0.000033	0.000002	0.000000	0.000000
22.950329	17.443757	15.471369	1.721860	-1.472852	2.570857	0.000000	-0.272914	0.000000	-0.000032	0.000001	0.000000	0.000000
23.391289	16.157277	16.624134	1.206662	-1.131416	2.466313	0.000000	-0.201697	0.000000	-0.000032	0.000000	0.000000	0.000000
23.832249	15.299225	17.451841	0.746594	-0.738501	2.392639	0.000000	-0.132776	0.000000	-0.000032	-0.000000	0.000000	0.000000
24.273209	14.830399	17.916833	0.320634	-0.311985	2.348994	0.000000	-0.065368	0.000000	-0.000032	-0.000001	0.000000	0.000000
24.715418	14.729516	17.997739	-0.054629	0.084507	2.334876	0.000000	-0.004431	0.000000	-0.000033	-0.000002	0.000000	0.000000
