# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.309155	26.374260	0.001284	0.003989	2.661212	0.000000	-0.017204	0.000000	0.000142	-0.000010	0.000000	0.000000
0.601250	11.316406	26.375298	-0.025354	-0.007433	2.656032	0.000000	-0.017204	0.000000	0.000139	-0.000010	0.000000	0.000000
0.898573	11.339300	26.383070	-0.023873	-0.083326	2.650920	0.000000	-0.023696	0.000000	0.000136	-0.000010	0.000000	0.000000
1.339533	11.507252	26.163288	-0.358451	0.579845	2.656941	0.000000	0.051011	0.000000	0.000132	-0.000007	0.000000	0.000000
1.780493	11.976354	25.368086	-0.709406	1.216633	2.695999	0.000000	0.126299	0.000000	0.000130	-0.000003	0.000000	0.000000
2.221453	12.768040	24.033644	-1.092771	1.798065	2.768541	0.000000	0.203026	0.000000	0.000129	-0.000000	0.000000	0.000000
2.662413	13.918479	22.220679	-1.526063	2.297686	2.875392	0.000000	0.282066	0.000000	0.000130	0.000003	0.000000	0.000000
3.108373	15.500152	19.985252	-2.033219	2.693915	3.019553	0.000000	0.364807	0.000000	0.000132	0.000007	0.000000	0.000000
3.657433	17.532056	17.473164	-1.645560	1.908337	3.194627	0.000000	0.271983	0.000000	0.000134	0.000002	0.000000	0.000000
4.206493	19.071527	15.744479	-1.141667	1.258686	3.317336	0.000000	0.174336	0.000000	0.000134	-0.000002	0.000000	0.000000
4.755553	20.009823	14.676068	-0.557131	0.698688	3.385503	0.000000	0.073596	0.000000	0.000132	-0.000006	0.000000	0.000000
5.304613	20.280669	14.191829	0.066758	0.188457	3.397920	0.000000	-0.028450	0.000000	0.000127	-0.000011	0.000000	0.000000
5.603185	20.276810	14.063774	-0.000900	0.203392	3.392077	0.000000	-0.019581	0.000000	0.000124	-0.000010	0.000000	0.000000
5.936519	20.282890	13.936407	-0.017339	0.178710	3.385553	0.000000	-0.019581	0.000000	0.000121	-0.000010	0.000000	0.000000
6.269852	20.299929	13.825494	-0.033778	0.154028	3.379030	0.000000	-0.019581	0.000000	0.000117	-0.000010	0.000000	0.000000
6.604435	20.328053	13.730713	-0.050279	0.129253	3.372482	0.000000	-0.019581	0.000000	0.000114	-0.000010	0.000000	0.000000
6.901758	20.362311	13.660398	-0.118096	0.142895	3.366663	0.000000	-0.010793	0.000000	0.000111	-0.000010	0.000000	0.000000
7.450818	20.145808	13.767528	0.510071	-0.339162	3.333051	0.000000	-0.111482	0.000000	0.000104	-0.000013	0.000000	0.000000
7.999878	19.255293	14.414095	1.102208	-0.845376	3.244619	0.000000	-0.210194	0.000000	0.000096	-0.000017	0.000000	0.000000
8.548938	17.753668	15.646151	1.616490	-1.411804	3.102935	0.000000	-0.305178	0.000000	0.000086	-0.000020	0.000000	0.000000
9.097998	15.747002	17.551453	2.016591	-2.078792	2.910511	0.000000	-0.394749	0.000000	0.000075	-0.000022	0.000000	0.000000
9.543958	14.181243	19.248771	1.506846	-1.711062	2.752348	0.000000	-0.315019	0.000000	0.000065	-0.000020	0.000000	0.000000
9.984918	13.049212	20.566901	1.070079	-1.266788	2.630245	0.000000	-0.239349	0.000000	0.000056	-0.000019	0.000000	0.000000
10.425878	12.279443	21.466206	0.682202	-0.764875	2.540877	0.000000	-0.166404	0.000000	0.000048	-0.000018	0.000000	0.000000
10.866838	11.836767	21.905768	0.325492	-0.228161	2.483227	0.000000	-0.095355	0.000000	0.000041	-0.000016	0.000000	0.000000
11.309048	11.700928	21.864925	0.012232	0.265274	2.456598	0.000000	-0.031413	0.000000	0.000034	-0.000016	0.000000	0.000000
11.606371	11.701210	21.711509	-0.013182	0.250719	2.447262	0.000000	-0.031413	0.000000	0.000029	-0.000016	0.000000	0.000000
12.086371	11.733558	21.482098	-0.054210	0.227221	2.432191	0.000000	-0.031413	0.000000	0.000022	-0.000016	0.000000	0.000000
12.566371	11.805294	21.275245	-0.095239	0.203723	2.417120	0.000000	-0.031413	0.000000	0.000014	-0.000016	0.000000	0.000000
13.046371	11.916417	21.090950	-0.136267	0.180225	2.402049	0.000000	-0.031413	0.000000	0.000007	-0.000016	0.000000	0.000000
13.526371	12.066927	20.929213	-0.177296	0.156727	2.386978	0.000000	-0.031413	0.000000	-0.000001	-0.000016	0.000000	0.000000
14.007621	12.257371	20.789700	-0.218431	0.133168	2.371868	0.000000	-0.031413	0.000000	-0.000008	-0.000016	0.000000	0.000000
14.304943	12.394816	20.714840	-0.213446	0.067804	2.362533	0.000000	-0.037208	0.000000	-0.000013	-0.000015	0.000000	0.000000
14.745903	12.742521	20.429264	-0.578071	0.577356	2.360945	0.000000	0.029967	0.000000	-0.000020	-0.000016	0.000000	0.000000
15.186863	13.422183	19.704215	-0.969106	1.060639	2.389025	0.000000	0.097483	0.000000	-0.000027	-0.000016	0.000000	0.000000
15.627823	14.464853	18.572683	-1.404417	1.495663	2.447093	0.000000	0.166109	0.000000	-0.000034	-0.000017	0.000000	0.000000
16.068783	15.918167	17.086151	-1.903891	1.862636	2.535812	0.000000	0.236627	0.000000	-0.000042	-0.000018	0.000000	0.000000
16.514743	17.872998	15.291192	-2.495233	2.145486	2.657707	0.000000	0.310271	0.000000	-0.000050	-0.000019	0.000000	0.000000
17.063803	20.386247	13.290717	-2.055052	1.519478	2.806147	0.000000	0.229604	0.000000	-0.000061	-0.000018	0.000000	0.000000
