# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.327736	26.325664	0.000917	0.002840	2.659539	0.000000	-0.016500	0.000000	0.000130	-0.000009	0.000000	0.000000
0.601250	11.335194	26.327400	-0.025677	-0.008604	2.654571	0.000000	-0.016500	0.000000	0.000127	-0.000009	0.000000	0.000000
0.898573	11.358267	26.335875	-0.024103	-0.084409	2.649668	0.000000	-0.022990	0.000000	0.000124	-0.000009	0.000000	0.000000
1.339533	11.526611	26.117592	-0.359114	0.577541	2.655992	0.000000	0.051689	0.000000	0.000121	-0.000006	0.000000	0.000000
1.780493	11.996500	25.324923	-0.710533	1.213213	2.695345	0.000000	0.126956	0.000000	0.000119	-0.000003	0.000000	0.000000
2.221453	12.789402	23.993935	-1.094413	1.793684	2.768173	0.000000	0.203670	0.000000	0.000118	-0.000000	0.000000	0.000000
2.662413	13.941542	22.185185	-1.528295	2.292544	2.875306	0.000000	0.282703	0.000000	0.000119	0.000003	0.000000	0.000000
3.108373	15.525508	19.954601	-2.036148	2.688245	3.019752	0.000000	0.365446	0.000000	0.000121	0.000006	0.000000	0.000000
3.657433	17.560210	17.447995	-1.647698	1.903962	3.195174	0.000000	0.272611	0.000000	0.000123	0.000002	0.000000	0.000000
4.206493	19.101522	15.723550	-1.142862	1.255294	3.318221	0.000000	0.174940	0.000000	0.000123	-0.000002	0.000000	0.000000
4.755553	20.040572	14.658437	-0.557300	0.696039	3.386711	0.000000	0.074166	0.000000	0.000121	-0.000006	0.000000	0.000000
5.304613	20.311032	14.176789	0.067627	0.186361	3.399429	0.000000	-0.027924	0.000000	0.000117	-0.000010	0.000000	0.000000
5.603185	20.306698	14.050008	-0.000094	0.201256	3.393744	0.000000	-0.019050	0.000000	0.000114	-0.000009	0.000000	0.000000
5.936519	20.312232	13.924066	-0.016509	0.176570	3.387397	0.000000	-0.019050	0.000000	0.000111	-0.000009	0.000000	0.000000
6.269852	20.328709	13.814581	-0.032923	0.151885	3.381050	0.000000	-0.019050	0.000000	0.000108	-0.000009	0.000000	0.000000
6.604435	20.356253	13.721235	-0.049400	0.127106	3.374679	0.000000	-0.019050	0.000000	0.000104	-0.000009	0.000000	0.000000
6.901758	20.389982	13.652198	-0.117271	0.140726	3.369018	0.000000	-0.010255	0.000000	0.000102	-0.000009	0.000000	0.000000
7.450818	20.172072	13.761592	0.511792	-0.341140	3.335680	0.000000	-0.111025	0.000000	0.000096	-0.000012	0.000000	0.000000
7.999878	19.279227	14.410291	1.104705	-0.847304	3.247474	0.000000	-0.209826	0.000000	0.000088	-0.000015	0.000000	0.000000
8.548938	17.774514	15.644500	1.619587	-1.413820	3.105965	0.000000	-0.304905	0.000000	0.000079	-0.000018	0.000000	0.000000
9.097998	15.764218	17.552130	2.020068	-2.081040	2.913663	0.000000	-0.394577	0.000000	0.000068	-0.000020	0.000000	0.000000
9.543958	14.195641	19.251533	1.509712	-1.713472	2.755594	0.000000	-0.314763	0.000000	0.000060	-0.000019	0.000000	0.000000
9.984918	13.061302	20.571817	1.072470	-1.269246	2.633622	0.000000	-0.239008	0.000000	0.000052	-0.000017	0.000000	0.000000
10.425878	12.289594	21.473270	0.684226	-0.767270	2.544423	0.000000	-0.165974	0.000000	0.000044	-0.000016	0.000000	0.000000
10.866838	11.845260	21.914877	0.327243	-0.230385	2.486983	0.000000	-0.094830	0.000000	0.000038	-0.000015	0.000000	0.000000
11.309048	11.707964	21.875887	0.013806	0.263295	2.460607	0.000000	-0.030799	0.000000	0.000031	-0.000014	0.000000	0.000000
11.606371	11.707306	21.723641	-0.011593	0.248761	2.451454	0.000000	-0.030799	0.000000	0.000027	-0.000014	0.000000	0.000000
12.086371	11.738119	21.496092	-0.052599	0.225298	2.436677	0.000000	-0.030799	0.000000	0.000020	-0.000014	0.000000	0.000000
12.566371	11.808296	21.291069	-0.093604	0.201835	2.421900	0.000000	-0.030799	0.000000	0.000013	-0.000014	0.000000	0.000000
13.046371	11.917839	21.108569	-0.134610	0.178372	2.407124	0.000000	-0.030799	0.000000	0.000006	-0.000014	0.000000	0.000000
13.526371	12.066747	20.948595	-0.175616	0.154909	2.392347	0.000000	-0.030799	0.000000	-0.000000	-0.000014	0.000000	0.000000
14.007621	12.255562	20.810816	-0.216728	0.131385	2.377532	0.000000	-0.030799	0.000000	-0.000007	-0.000014	0.000000	0.000000
14.304943	12.391991	20.737010	-0.211735	0.065988	2.368379	0.000000	-0.036608	0.000000	-0.000011	-0.000014	0.000000	0.000000
14.745903	12.738136	20.452759	-0.576230	0.576179	2.367088	0.000000	0.030721	0.000000	-0.000018	-0.000015	0.000000	0.000000
15.186863	13.416088	19.728445	-0.967052	1.060154	2.395536	0.000000	0.098400	0.000000	-0.000024	-0.000015	0.000000	0.000000
15.627823	14.456817	18.597026	-1.402054	1.495893	2.454047	0.000000	0.167200	0.000000	-0.000031	-0.000016	0.000000	0.000000
16.068783	15.907873	17.109979	-1.901113	1.863570	2.543286	0.000000	0.237905	0.000000	-0.000038	-0.000017	0.000000	0.000000
16.514743	17.859992	15.313884	-2.491907	2.147086	2.665795	0.000000	0.311750	0.000000	-0.000046	-0.000018	0.000000	0.000000
17.063803	20.369672	13.312007	-2.051915	1.520446	2.814972	0.000000	0.230809	0.000000	-0.000055	-0.000016	0.000000	0.000000
