# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.029678	0.036739	0.000000	0.000000
2	-0.029676	0.036737	0.000000	0.000000
3	-0.029674	0.036736	0.000000	0.000000
4	-0.029672	0.036734	0.000000	0.000000
5	-0.029670	0.036733	0.000000	0.000000
6	-0.029668	0.036731	0.000000	0.000000
7	-0.029666	0.036729	0.000000	0.000000
8	-0.029664	0.036728	0.000000	0.000000
9	-0.029662	0.036726	0.000000	0.000000
10	-0.029661	0.036725	0.000000	0.000000
11	-0.029656	0.036720	0.000000	0.000000
12	-0.029651	0.036715	0.000000	0.000000
13	-0.029646	0.036710	0.000000	0.000000
14	-0.029642	0.036705	0.000000	0.000000
15	-0.029637	0.036700	0.000000	0.000000
16	-0.029632	0.036695	0.000000	0.000000
17	-0.029627	0.036690	0.000000	0.000000
18	-0.029622	0.036684	0.000000	0.000000
19	-0.029617	0.036679	0.000000	0.000000
20	-0.029612	0.036674	0.000000	0.000000
21	-0.029604	0.036667	0.000000	0.000000
22	-0.029596	0.036659	0.000000	0.000000
23	-0.029588	0.036650	0.000000	0.000000
24	-0.029579	0.036642	0.000000	0.000000
25	-0.029571	0.036634	0.000000	0.000000
26	-0.029562	0.036626	0.000000	0.000000
27	-0.029554	0.036618	0.000000	0.000000
28	-0.029546	0.036610	0.000000	0.000000
29	-0.029537	0.036602	0.000000	0.000000
30	-0.029529	0.036594	0.000000	0.000000
31	-0.029518	0.036583	0.000000	0.000000
32	-0.029506	0.036572	0.000000	0.000000
33	-0.029494	0.036561	0.000000	0.000000
34	-0.029483	0.036549	0.000000	0.000000
35	-0.029471	0.036538	0.000000	0.000000
36	-0.029459	0.036527	0.000000	0.000000
37	-0.029447	0.036516	0.000000	0.000000
38	-0.029435	0.036505	0.000000	0.000000
39	-0.029424	0.036494	0.000000	0.000000
40	-0.029412	0.036483	0.000000	0.000000
41	-0.029398	0.036468	0.000000	0.000000
42	-0.029385	0.036452	0.000000	0.000000
43	-0.029371	0.036436	0.000000	0.000000
44	-0.029357	0.036420	0.000000	0.000000
45	-0.029344	0.036404	0.000000	0.000000
46	-0.029330	0.036388	0.000000	0.000000
47	-0.029316	0.036372	0.000000	0.000000
48	-0.029303	0.036356	0.000000	0.000000
49	-0.029289	0.036340	0.000000	0.000000
50	-0.029275	0.036324	0.000000	0.000000
51	-0.029260	0.036304	0.000000	0.000000
52	-0.029244	0.036284	0.000000	0.000000
53	-0.029228	0.036264	0.000000	0.000000
54	-0.029212	0.036243	0.000000	0.000000
55	-0.029196	0.036223	0.000000	0.000000
56	-0.029180	0.036203	0.000000	0.000000
57	-0.029164	0.036182	0.000000	0.000000
58	-0.029148	0.036162	0.000000	0.000000
59	-0.029132	0.036142	0.000000	0.000000
60	-0.029116	0.036121	0.000000	0.000000
61	-0.029097	0.036100	0.000000	0.000000
62	-0.029076	0.036078	0.000000	0.000000
63	-0.029056	0.036056	0.000000	0.000000
64	-0.029035	0.036034	0.000000	0.000000
65	-0.029015	0.036012	0.000000	0.000000
66	-0.028994	0.035990	0.000000	0.000000
67	-0.028974	0.035968	0.000000	0.000000
68	-0.028953	0.035945	0.000000	0.000000
69	-0.028933	0.035923	0.000000	0.000000
70	-0.028912	0.035901	0.000000	0.000000
71	-0.028890	0.035876	0.000000	0.000000
72	-0.028868	0.035849	0.000000	0.000000
73	-0.028846	0.035822	0.000000	0.000000
74	-0.028824	0.035796	0.000000	0.000000
75	-0.028801	0.035769	0.000000	0.000000
76	-0.028779	0.035743	0.000000	0.000000
77	-0.028757	0.035716	0.000000	0.000000
78	-0.028735	0.035690	0.000000	0.000000
79	-0.028712	0.035663	0.000000	0.000000
80	-0.028690	0.035636	0.000000	0.000000
81	-0.028665	0.035607	0.000000	0.000000
82	-0.028640	0.035577	0.000000	0.000000
83	-0.028614	0.035548	0.000000	0.000000
84	-0.028589	0.035518	0.000000	0.000000
85	-0.028564	0.035488	0.000000	0.000000
86	-0.028538	0.035458	0.000000	0.000000
87	-0.028513	0.035428	0.000000	0.000000
88	-0.028487	0.035398	0.000000	0.000000
89	-0.028462	0.035369	0.000000	0.000000
90	-0.028436	0.035339	0.000000	0.000000
91	-0.028409	0.035306	0.000000	0.000000
92	-0.028380	0.035273	0.000000	0.000000
93	-0.028352	0.035240	0.000000	0.000000
94	-0.028324	0.035207	0.000000	0.000000
95	-0.028295	0.035174	0.000000	0.000000
96	-0.028267	0.035141	0.000000	0.000000
97	-0.028239	0.035108	0.000000	0.000000
98	-0.028210	0.035075	0.000000	0.000000
99	-0.028182	0.035042	0.000000	0.000000
100	-0.028154	0.035009	0.000000	0.000000
101	-0.028122	0.034973	0.000000	0.000000
102	-0.028091	0.034937	0.000000	0.000000
103	-0.028059	0.034901	0.000000	0.000000
104	-0.028027	0.034865	0.000000	0.000000
105	-0.027996	0.034829	0.000000	0.000000
106	-0.027964	0.034793	0.000000	0.000000
107	-0.027932	0.034757	0.000000	0.000000
108	-0.027900	0.034721	0.000000	0.000000
109	-0.027869	0.034685	0.000000	0.000000
110	-0.027837	0.034649	0.000000	0.000000
111	-0.027804	0.034609	0.000000	0.000000
112	-0.027770	0.034568	0.000000	0.000000
113	-0.027737	0.034528	0.000000	0.000000
114	-0.027704	0.034487	0.000000	0.000000
115	-0.027670	0.034447	0.000000	0.000000
116	-0.027637	0.034406	0.000000	0.000000
117	-0.027603	0.034366	0.000000	0.000000
118	-0.027570	0.034325	0.000000	0.000000
119	-0.027536	0.034285	0.000000	0.000000
120	-0.027503	0.034244	0.000000	0.000000
121	-0.027467	0.034201	0.000000	0.000000
122	-0.027431	0.034158	0.000000	0.000000
123	-0.027394	0.034114	0.000000	0.000000
124	-0.027358	0.034071	0.000000	0.000000
125	-0.027321	0.034027	0.000000	0.000000
126	-0.027285	0.033984	0.000000	0.000000
127	-0.027248	0.033940	0.000000	0.000000
128	-0.027212	0.033897	0.000000	0.000000
129	-0.027175	0.033853	0.000000	0.000000
130	-0.027139	0.033810	0.000000	0.000000
131	-0.027100	0.033763	0.000000	0.000000
132	-0.027060	0.033717	0.000000	0.000000
133	-0.027021	0.033670	0.000000	0.000000
134	-0.026982	0.033624	0.000000	0.000000
135	-0.026942	0.033577	0.000000	0.000000
136	-0.026903	0.033530	0.000000	0.000000
137	-0.026864	0.033484	0.000000	0.000000
138	-0.026824	0.033437	0.000000	0.000000
139	-0.026785	0.033390	0.000000	0.000000
140	-0.026746	0.033344	0.000000	0.000000
141	-0.026704	0.033294	0.000000	0.000000
142	-0.026662	0.033245	0.000000	0.000000
143	-0.026620	0.033195	0.000000	0.000000
144	-0.026578	0.033145	0.000000	0.000000
145	-0.026536	0.033095	0.000000	0.000000
146	-0.026495	0.033046	0.000000	0.000000
147	-0.026453	0.032996	0.000000	0.000000
148	-0.026411	0.032946	0.000000	0.000000
149	-0.026369	0.032896	0.000000	0.000000
150	-0.026327	0.032847	0.000000	0.000000
151	-0.026283	0.032794	0.000000	0.000000
152	-0.026238	0.032742	0.000000	0.000000
153	-0.026193	0.032689	0.000000	0.000000
154	-0.026148	0.032636	0.000000	0.000000
155	-0.026103	0.032584	0.000000	0.000000
156	-0.026058	0.032531	0.000000	0.000000
157	-0.026013	0.032478	0.000000	0.000000
158	-0.025968	0.032426	0.000000	0.000000
159	-0.025923	0.032373	0.000000	0.000000
160	-0.025878	0.032320	0.000000	0.000000
161	-0.025832	0.032264	0.000000	0.000000
162	-0.025785	0.032207	0.000000	0.000000
163	-0.025738	0.032150	0.000000	0.000000
164	-0.025691	0.032093	0.000000	0.000000
165	-0.025644	0.032036	0.000000	0.000000
166	-0.025597	0.031980	0.000000	0.000000
167	-0.025551	0.031923	0.000000	0.000000
168	-0.025504	0.031866	0.000000	0.000000
169	-0.025457	0.031809	0.000000	0.000000
170	-0.025410	0.031752	0.000000	0.000000
171	-0.025360	0.031694	0.000000	0.000000
172	-0.025310	0.031635	0.000000	0.000000
173	-0.025260	0.031576	0.000000	0.000000
174	-0.025210	0.031518	0.000000	0.000000
175	-0.025160	0.031459	0.000000	0.000000
176	-0.025109	0.031401	0.000000	0.000000
177	-0.025059	0.031342	0.000000	0.000000
178	-0.025009	0.031284	0.000000	0.000000
179	-0.024959	0.031225	0.000000	0.000000
180	-0.024909	0.031166	0.000000	0.000000
181	-0.024859	0.031102	0.000000	0.000000
182	-0.024808	0.031037	0.000000	0.000000
183	-0.024758	0.030972	0.000000	0.000000
184	-0.024708	0.030907	0.000000	0.000000
185	-0.024658	0.030842	0.000000	0.000000
186	-0.024608	0.030777	0.000000	0.000000
187	-0.024558	0.030712	0.000000	0.000000
188	-0.024508	0.030647	0.000000	0.000000
189	-0.024458	0.030581	0.000000	0.000000
190	-0.024408	0.030516	0.000000	0.000000
191	-0.024353	0.030452	0.000000	0.000000
192	-0.024298	0.030387	0.000000	0.000000
193	-0.024243	0.030322	0.000000	0.000000
