# Turn	Orbit_Min_x	Orbit_Max_x	Orbit_Min_y	Orbit_Max_y
0	-0.000000	0.000000	0.000000	0.000000
1	-0.029637	0.036755	0.000000	0.000000
2	-0.029635	0.036754	0.000000	0.000000
3	-0.029633	0.036752	0.000000	0.000000
4	-0.029631	0.036751	0.000000	0.000000
5	-0.029629	0.036749	0.000000	0.000000
6	-0.029627	0.036747	0.000000	0.000000
7	-0.029625	0.036746	0.000000	0.000000
8	-0.029623	0.036744	0.000000	0.000000
9	-0.029621	0.036743	0.000000	0.000000
10	-0.029619	0.036741	0.000000	0.000000
11	-0.029615	0.036737	0.000000	0.000000
12	-0.029610	0.036732	0.000000	0.000000
13	-0.029605	0.036727	0.000000	0.000000
14	-0.029600	0.036721	0.000000	0.000000
15	-0.029596	0.036716	0.000000	0.000000
16	-0.029591	0.036711	0.000000	0.000000
17	-0.029586	0.036706	0.000000	0.000000
18	-0.029581	0.036701	0.000000	0.000000
19	-0.029576	0.036696	0.000000	0.000000
20	-0.029571	0.036691	0.000000	0.000000
21	-0.029563	0.036683	0.000000	0.000000
22	-0.029555	0.036675	0.000000	0.000000
23	-0.029547	0.036667	0.000000	0.000000
24	-0.029538	0.036659	0.000000	0.000000
25	-0.029530	0.036651	0.000000	0.000000
26	-0.029522	0.036643	0.000000	0.000000
27	-0.029513	0.036634	0.000000	0.000000
28	-0.029505	0.036626	0.000000	0.000000
29	-0.029497	0.036618	0.000000	0.000000
30	-0.029488	0.036610	0.000000	0.000000
31	-0.029477	0.036599	0.000000	0.000000
32	-0.029465	0.036588	0.000000	0.000000
33	-0.029454	0.036577	0.000000	0.000000
34	-0.029442	0.036566	0.000000	0.000000
35	-0.029430	0.036555	0.000000	0.000000
36	-0.029418	0.036544	0.000000	0.000000
37	-0.029407	0.036532	0.000000	0.000000
38	-0.029395	0.036521	0.000000	0.000000
39	-0.029383	0.036510	0.000000	0.000000
40	-0.029371	0.036499	0.000000	0.000000
41	-0.029358	0.036484	0.000000	0.000000
42	-0.029344	0.036468	0.000000	0.000000
43	-0.029331	0.036452	0.000000	0.000000
44	-0.029317	0.036436	0.000000	0.000000
45	-0.029304	0.036420	0.000000	0.000000
46	-0.029290	0.036404	0.000000	0.000000
47	-0.029276	0.036388	0.000000	0.000000
48	-0.029263	0.036372	0.000000	0.000000
49	-0.029249	0.036356	0.000000	0.000000
50	-0.029235	0.036340	0.000000	0.000000
51	-0.029220	0.036320	0.000000	0.000000
