# s	beta_x	beta_y	alpha_x	alpha_y	D_x	D_y	D_px	D_py	orbit_x	orbit_px	orbit_y	orbit_py
0.300000	11.873882	24.842726	-0.017874	-0.028178	2.618055	0.000000	0.000035	0.000000	-0.000004	0.000001	0.000000	0.000000
0.601250	11.892296	24.863360	-0.043252	-0.040314	2.618066	0.000000	0.000035	0.000000	-0.000004	0.000001	0.000000	0.000000
0.898573	11.925464	24.890894	-0.039055	-0.113334	2.618076	0.000000	-0.006386	0.000000	-0.000004	0.000001	0.000000	0.000000
1.339533	12.112771	24.714838	-0.387327	0.511069	2.631553	0.000000	0.067571	0.000000	-0.000003	0.000001	0.000000	0.000000
1.780493	12.613839	23.996300	-0.753296	1.112218	2.677780	0.000000	0.142297	0.000000	-0.000003	0.000001	0.000000	0.000000
2.221453	13.451561	22.767971	-1.153680	1.662762	2.757284	0.000000	0.218643	0.000000	-0.000003	0.000000	0.000000	0.000000
2.662413	14.664210	21.085739	-1.606773	2.137651	2.870970	0.000000	0.297480	0.000000	-0.000003	0.000000	0.000000	0.000000
3.108373	16.328130	19.001469	-2.137597	2.516405	3.021996	0.000000	0.380195	0.000000	-0.000003	0.000000	0.000000	0.000000
3.657433	18.461632	16.660827	-1.725136	1.771757	3.205473	0.000000	0.287156	0.000000	-0.000002	0.000000	0.000000	0.000000
4.206493	20.072199	15.064215	-1.190819	1.153309	3.336392	0.000000	0.189025	0.000000	-0.000002	0.000001	0.000000	0.000000
4.755553	21.046071	14.097909	-0.572389	0.617007	3.412429	0.000000	0.087540	0.000000	-0.000002	0.000001	0.000000	0.000000
5.304613	21.314458	13.693082	0.086472	0.124654	3.432236	0.000000	-0.015497	0.000000	-0.000001	0.000001	0.000000	0.000000
5.603185	21.300264	13.603958	0.016759	0.138066	3.430286	0.000000	-0.006529	0.000000	-0.000001	0.000001	0.000000	0.000000
5.936519	21.294309	13.520237	0.001106	0.113096	3.428110	0.000000	-0.006529	0.000000	-0.000001	0.000001	0.000000	0.000000
6.269852	21.298789	13.453163	-0.014548	0.088127	3.425933	0.000000	-0.006529	0.000000	-0.000001	0.000001	0.000000	0.000000
6.604435	21.313781	13.402577	-0.030260	0.063063	3.423748	0.000000	-0.006529	0.000000	-0.000001	0.000001	0.000000	0.000000
6.901758	21.335927	13.371699	-0.099970	0.075729	3.421807	0.000000	0.002412	0.000000	-0.000000	0.000001	0.000000	0.000000
7.450818	21.081830	13.548472	0.560016	-0.399586	3.394929	0.000000	-0.100173	0.000000	-0.000000	0.000001	0.000000	0.000000
7.999878	20.120522	14.259672	1.180445	-0.903363	3.312130	0.000000	-0.200981	0.000000	0.000000	0.000001	0.000000	0.000000
8.548938	18.519906	15.555954	1.717493	-1.471484	3.174881	0.000000	-0.298224	0.000000	0.000001	0.000001	0.000000	0.000000
9.097998	16.393040	17.529650	2.133226	-2.144416	2.985615	0.000000	-0.390177	0.000000	0.000001	0.000001	0.000000	0.000000
9.543958	14.733304	19.288506	1.601721	-1.782896	2.829919	0.000000	-0.308467	0.000000	0.000001	0.000001	0.000000	0.000000
9.984918	13.525495	20.671492	1.147714	-1.341477	2.711144	0.000000	-0.230754	0.000000	0.000001	0.000001	0.000000	0.000000
10.425878	12.693536	21.636678	0.746143	-0.839021	2.626026	0.000000	-0.155669	0.000000	0.000002	0.000001	0.000000	0.000000
10.866838	12.199417	22.140147	0.378661	-0.298391	2.573596	0.000000	-0.082358	0.000000	0.000002	0.000001	0.000000	0.000000
11.309048	12.020419	22.158489	0.057852	0.201418	2.553235	0.000000	-0.016245	0.000000	0.000002	0.000001	0.000000	0.000000
11.606371	11.993397	22.042868	0.033034	0.187455	2.548405	0.000000	-0.016245	0.000000	0.000003	0.000001	0.000000	0.000000
12.086371	11.980916	21.873731	-0.007032	0.164914	2.540607	0.000000	-0.016245	0.000000	0.000003	0.000001	0.000000	0.000000
12.566371	12.006897	21.726233	-0.047097	0.142373	2.532809	0.000000	-0.016245	0.000000	0.000003	0.000001	0.000000	0.000000
13.046371	12.071342	21.600374	-0.087163	0.119832	2.525011	0.000000	-0.016245	0.000000	0.000004	0.000001	0.000000	0.000000
13.526371	12.174250	21.496154	-0.127229	0.097292	2.517213	0.000000	-0.016245	0.000000	0.000004	0.000001	0.000000	0.000000
14.007621	12.316040	21.413387	-0.167399	0.074692	2.509395	0.000000	-0.016245	0.000000	0.000005	0.000001	0.000000	0.000000
14.304943	12.422962	21.373124	-0.161753	0.008319	2.504565	0.000000	-0.022387	0.000000	0.000005	0.000001	0.000000	0.000000
14.745903	12.724714	21.131791	-0.525151	0.536887	2.510326	0.000000	0.048544	0.000000	0.000005	0.000001	0.000000	0.000000
15.186863	13.356282	20.433336	-0.912541	1.041027	2.547457	0.000000	0.120028	0.000000	0.000006	0.000001	0.000000	0.000000
15.627823	14.346522	19.309538	-1.341622	1.497801	2.616380	0.000000	0.192878	0.000000	0.000006	0.000001	0.000000	0.000000
16.068783	15.740673	17.811529	-1.831999	1.886426	2.717881	0.000000	0.267926	0.000000	0.000007	0.000001	0.000000	0.000000
16.514743	17.626070	15.985975	-2.410832	2.189978	2.854811	0.000000	0.346487	0.000000	0.000007	0.000002	0.000000	0.000000
17.063803	20.046756	13.947264	-1.971852	1.545032	3.021318	0.000000	0.259141	0.000000	0.000008	0.000001	0.000000	0.000000
17.612863	21.905590	12.552557	-1.393589	1.010135	3.138533	0.000000	0.167198	0.000000	0.000009	0.000001	0.000000	0.000000
18.161923	23.071271	11.702512	-0.716891	0.547187	3.204376	0.000000	0.072289	0.000000	0.000009	0.000001	0.000000	0.000000
