[s]                      [eV/c]
2.750000000000000222e-01 3.133041236775214076e+08
2.850000000000000311e-01 3.268595239327126145e+08
2.949999999999999845e-01 3.425295373630348444e+08
3.049999999999999933e-01 3.599375498592742682e+08
3.150000000000000022e-01 3.787120419491212368e+08
3.250000000000000111e-01 3.985578358027625084e+08
3.350000000000000200e-01 4.194367678030557632e+08
3.450000000000000289e-01 4.414811554946749210e+08
3.549999999999999822e-01 4.646909914066953659e+08
3.649999999999999911e-01 4.891807909378674030e+08
3.750000000000000000e-01 5.150701545183715820e+08
3.850000000000000089e-01 5.424379681741499901e+08
3.950000000000000178e-01 5.713554821126194000e+08
4.050000000000000266e-01 6.018226877955801487e+08
4.150000000000000355e-01 6.339159284664409161e+08
4.249999999999999889e-01 6.677039174200967550e+08
4.349999999999999978e-01 7.031866471856229305e+08
4.450000000000000067e-01 7.403692054626369476e+08
4.550000000000000155e-01 7.792490553386169672e+08
4.650000000000000244e-01 8.198261973472008705e+08
4.750000000000000333e-01 8.621031678672724962e+08
4.849999999999999867e-01 9.060774219817482233e+08
4.949999999999999956e-01 9.518227612187778950e+08
5.050000000000000044e-01 9.995402153506554365e+08
5.150000000000000133e-01 1.049097459895419955e+09
5.250000000000000222e-01 1.099988105448079586e+09
5.350000000000000311e-01 1.152135817837063074e+09
5.450000000000000400e-01 1.205487149534514904e+09
5.550000000000000488e-01 1.259609512129955292e+09
5.650000000000000577e-01 1.314268796731741190e+09
5.750000000000000666e-01 1.369312324857616901e+09
5.849999999999999645e-01 1.424612867729801655e+09
5.949999999999999734e-01 1.480170415742820024e+09
6.049999999999999822e-01 1.536046044772129536e+09
6.149999999999999911e-01 1.592295744594481707e+09
6.250000000000000000e-01 1.648481824691568375e+09
6.350000000000000089e-01 1.703672938263707399e+09
6.550000000000000266e-01 1.810823456369766712e+09
6.650000000000000355e-01 1.862161956633582592e+09
6.750000000000000444e-01 1.910719146953781843e+09
6.850000000000000533e-01 1.955805425774489403e+09
6.950000000000000622e-01 1.996779528955294371e+09
7.049999999999999600e-01 2.033641462899846315e+09
7.149999999999999689e-01 2.066335246369592905e+09
7.249999999999999778e-01 2.095059358349731922e+09
7.349999999999999867e-01 2.117073203300885677e+09
7.449999999999999956e-01 2.130503915426279068e+09
7.550000000000000044e-01 2.138560034292557240e+09
7.650000000000000133e-01 2.141766030543030500e+09
8.050000000000000488e-01 2.141766030543030500e+09
