#Turn	Emit_x
-1	3.597415e-06
0	3.634688e-06
1	3.636649e-06
2	3.559342e-06
3	3.569441e-06
4	3.604325e-06
5	3.521546e-06
6	3.517969e-06
7	3.580649e-06
8	3.505598e-06
9	3.504678e-06
10	3.580455e-06
11	3.520593e-06
12	3.536498e-06
13	3.603076e-06
14	3.557743e-06
15	3.599884e-06
16	3.632687e-06
17	3.594972e-06
18	3.668166e-06
19	3.647273e-06
20	3.609142e-06
21	3.715149e-06
22	3.631157e-06
23	3.589271e-06
24	3.727704e-06
25	3.584144e-06
26	3.543392e-06
27	3.710779e-06
28	3.522147e-06
29	3.495179e-06
30	3.682626e-06
31	3.468972e-06
32	3.472199e-06
33	3.663428e-06
34	3.443938e-06
35	3.492241e-06
36	3.663886e-06
37	3.452112e-06
38	3.554846e-06
39	3.679772e-06
40	3.482230e-06
41	3.641941e-06
42	3.694811e-06
43	3.513091e-06
44	3.726624e-06
45	3.689831e-06
46	3.524866e-06
47	3.785358e-06
48	3.653159e-06
49	3.509398e-06
50	3.807538e-06
51	3.586937e-06
52	3.474360e-06
53	3.798205e-06
54	3.506421e-06
55	3.439495e-06
56	3.773352e-06
57	3.433019e-06
58	3.427313e-06
59	3.750957e-06
60	3.384930e-06
61	3.453105e-06
62	3.742461e-06
63	3.369934e-06
64	3.518837e-06
65	3.748404e-06
66	3.383267e-06
67	3.613007e-06
68	3.759437e-06
69	3.410843e-06
70	3.715657e-06
71	3.761403e-06
72	3.435799e-06
73	3.805847e-06
74	3.741774e-06
75	3.445303e-06
76	3.868427e-06
77	3.694703e-06
78	3.434920e-06
79	3.897783e-06
80	3.622917e-06
81	3.409225e-06
82	3.897764e-06
83	3.536268e-06
84	3.379080e-06
85	3.878605e-06
86	3.448052e-06
87	3.357224e-06
88	3.852620e-06
89	3.370893e-06
90	3.354129e-06
91	3.830412e-06
92	3.313675e-06
93	3.375457e-06
94	3.818664e-06
95	3.280248e-06
96	3.421494e-06
97	3.819703e-06
98	3.269770e-06
99	3.488137e-06
100	3.832349e-06
101	3.278087e-06
102	3.568682e-06
103	3.853391e-06
104	3.299456e-06
105	3.655672e-06
106	3.879065e-06
107	3.328057e-06
108	3.742355e-06
109	3.906182e-06
110	3.359032e-06
111	3.823553e-06
112	3.932764e-06
113	3.388992e-06
114	3.895972e-06
115	3.958244e-06
116	3.416100e-06
117	3.958083e-06
118	3.983359e-06
119	3.439905e-06
120	4.009770e-06
121	4.009891e-06
122	3.461076e-06
123	4.051897e-06
124	4.040370e-06
125	3.481159e-06
126	4.085885e-06
127	4.077787e-06
128	3.502385e-06
129	4.113352e-06
130	4.125320e-06
131	3.527506e-06
132	4.135764e-06
133	4.185965e-06
134	3.559563e-06
135	4.154028e-06
136	4.261956e-06
137	3.601454e-06
138	4.167890e-06
139	4.353788e-06
140	3.655177e-06
141	4.175099e-06
142	4.458732e-06
143	3.720754e-06
144	4.170445e-06
145	4.568987e-06
146	3.795131e-06
147	4.145278e-06
148	4.670136e-06
149	3.871883e-06
150	4.088817e-06
151	4.741444e-06
152	3.943046e-06
153	3.993026e-06
154	4.760261e-06
155	4.004385e-06
156	3.861887e-06
157	4.711945e-06
158	4.063661e-06
159	3.721573e-06
160	4.602130e-06
161	4.146790e-06
162	3.621169e-06
163	4.458957e-06
164	4.288973e-06
165	3.611694e-06
166	4.309651e-06
167	4.495708e-06
168	3.706955e-06
169	4.145039e-06
170	4.693695e-06
171	3.863664e-06
172	3.934260e-06
173	4.757389e-06
174	4.025332e-06
175	3.708998e-06
176	4.635097e-06
177	4.204178e-06
178	3.592658e-06
179	4.405057e-06
180	4.468279e-06
181	3.679482e-06
182	4.129733e-06
183	4.727146e-06
184	3.902257e-06
185	3.809062e-06
186	4.729541e-06
187	4.143374e-06
188	3.592332e-06
189	4.471106e-06
190	4.455824e-06
191	3.668564e-06
192	4.103298e-06
193	4.755360e-06
194	3.952333e-06
195	3.709290e-06
196	4.674404e-06
197	4.267060e-06
198	3.581008e-06
199	4.295927e-06
200	4.664842e-06
201	3.835708e-06
202	3.811123e-06
203	4.748292e-06
204	4.195419e-06
205	3.565178e-06
206	4.368272e-06
207	4.631990e-06
208	3.809241e-06
209	3.815868e-06
210	4.755327e-06
211	4.214114e-06
212	3.561882e-06
213	4.322669e-06
214	4.686691e-06
215	3.871704e-06
216	3.720036e-06
217	4.704258e-06
218	4.320493e-06
219	3.595198e-06
220	4.151943e-06
221	4.779603e-06
222	4.017179e-06
223	3.588960e-06
224	4.551290e-06
225	4.522854e-06
226	3.730345e-06
227	3.865292e-06
228	4.780830e-06
229	4.225670e-06
230	3.557775e-06
231	4.255264e-06
232	4.754789e-06
233	3.976544e-06
234	3.598450e-06
235	4.578955e-06
236	4.518648e-06
237	3.733160e-06
238	3.839758e-06
239	4.774427e-06
240	4.262321e-06
