#x	Emit_x_max	Emit_x_min
0.004000	1.369746e+00	8.978175e-01
0.004010	1.339851e+00	9.067238e-01
0.004020	1.342711e+00	9.001048e-01
0.004030	1.339661e+00	8.016384e-01
0.004040	1.338703e+00	8.114074e-01
0.004050	1.337747e+00	7.722105e-01
0.004060	1.338830e+00	7.439938e-01
0.004070	1.339469e+00	7.335718e-01
0.004080	1.339411e+00	7.548196e-01
0.004090	1.338656e+00	8.226332e-01
0.004100	1.425791e+00	9.078649e-01
0.004110	1.478667e+00	9.080059e-01
0.004120	1.642960e+00	9.081503e-01
0.004130	1.621080e+00	9.082981e-01
0.004140	1.609439e+00	9.084491e-01
0.004150	1.556149e+00	9.086035e-01
0.004160	1.559560e+00	9.087612e-01
0.004170	1.637007e+00	9.089222e-01
0.004180	1.504221e+00	9.090865e-01
0.004190	1.491544e+00	9.092541e-01
0.004200	1.467546e+00	9.094250e-01
0.004210	1.436998e+00	9.095991e-01
0.004220	1.410703e+00	9.097765e-01
0.004230	1.356908e+00	9.019354e-01
0.004240	1.331419e+00	8.061255e-01
0.004250	1.330491e+00	8.343329e-01
0.004260	1.329186e+00	8.081992e-01
0.004270	1.328752e+00	7.769743e-01
0.004280	1.328047e+00	7.529014e-01
0.004290	1.326883e+00	7.013193e-01
0.004300	1.325268e+00	7.197851e-01
0.004310	1.324418e+00	7.495204e-01
0.004320	1.323098e+00	7.354202e-01
0.004330	1.321243e+00	8.774306e-01
0.004340	1.318864e+00	9.121569e-01
0.004350	1.430525e+00	9.123759e-01
0.004360	1.751783e+00	9.125465e-01
0.004370	1.544898e+00	9.126158e-01
0.004380	1.656097e+00	9.126884e-01
0.004390	1.578547e+00	9.127642e-01
0.004400	1.441484e+00	9.128432e-01
0.004410	1.460686e+00	9.129254e-01
0.004420	1.473624e+00	9.130107e-01
0.004430	1.478469e+00	9.130993e-01
0.004440	1.478928e+00	9.131911e-01
0.004450	1.470191e+00	8.988168e-01
0.004460	1.456849e+00	8.731973e-01
0.004470	1.437693e+00	8.691794e-01
0.004480	1.413076e+00	8.939719e-01
0.004490	1.384185e+00	9.136978e-01
0.004500	1.352072e+00	9.138086e-01
0.004510	1.336719e+00	8.920817e-01
0.004520	1.289157e+00	8.656931e-01
0.004530	1.287269e+00	7.551319e-01
0.004540	1.284943e+00	8.144760e-01
0.004550	1.283318e+00	7.900200e-01
0.004560	1.281706e+00	7.700015e-01
0.004570	1.279867e+00	7.547074e-01
0.004580	1.277808e+00	7.419619e-01
0.004590	1.275613e+00	7.379363e-01
0.004600	1.273241e+00	7.416821e-01
0.004610	1.270618e+00	7.577356e-01
0.004620	1.267753e+00	7.303009e-01
0.004630	1.265231e+00	8.293433e-01
0.004640	1.262612e+00	7.895928e-01
0.004650	1.280183e+00	8.644949e-01
0.004660	1.471819e+00	8.854967e-01
0.004670	1.361042e+00	9.089609e-01
0.004680	1.383020e+00	9.163400e-01
0.004690	1.378167e+00	9.165099e-01
0.004700	1.349417e+00	9.166828e-01
0.004710	1.308618e+00	9.168587e-01
0.004720	1.436203e+00	9.170376e-01
0.004730	1.375368e+00	9.172195e-01
0.004740	1.328542e+00	9.129044e-01
0.004750	1.343531e+00	8.993498e-01
0.004760	1.357637e+00	8.994233e-01
0.004770	1.367151e+00	9.050763e-01
0.004780	1.376228e+00	9.178117e-01
0.004790	1.380427e+00	8.375980e-01
0.004800	1.383537e+00	9.178872e-01
0.004810	1.490211e+00	9.179295e-01
0.004820	1.380762e+00	9.179720e-01
0.004830	1.374812e+00	8.816333e-01
0.004840	1.368795e+00	9.140780e-01
0.004850	1.457990e+00	9.121317e-01
0.004860	1.554413e+00	9.101867e-01
0.004870	1.578837e+00	9.082438e-01
0.004880	1.571138e+00	9.063036e-01
0.004890	1.534414e+00	9.043667e-01
0.004900	1.445937e+00	9.024339e-01
0.004910	1.296137e+00	9.001815e-01
0.004920	1.275616e+00	8.821919e-01
0.004930	1.254340e+00	8.525533e-01
0.004940	1.232360e+00	8.933982e-01
0.004950	1.358869e+00	8.911512e-01
0.004960	1.375846e+00	8.889126e-01
0.004970	1.189075e+00	8.866830e-01
0.004980	1.162146e+00	7.747664e-01
0.004990	1.158766e+00	7.832136e-01
0.005000	1.155315e+00	8.326675e-01
