#Turn	Emit_x
-1	3.896708e-06
0	3.937197e-06
1	3.938162e-06
2	3.853752e-06
3	3.864804e-06
4	3.900637e-06
5	3.811434e-06
6	3.807736e-06
7	3.873351e-06
8	3.794240e-06
9	3.793403e-06
10	3.873158e-06
11	3.812306e-06
12	3.829291e-06
13	3.899102e-06
14	3.855326e-06
15	3.899703e-06
16	3.932971e-06
17	3.897950e-06
18	3.974339e-06
19	3.949705e-06
20	3.913887e-06
21	4.023918e-06
22	3.931771e-06
23	3.891003e-06
24	4.034417e-06
25	3.879473e-06
26	3.838928e-06
27	4.012454e-06
28	3.811349e-06
29	3.784845e-06
30	3.979405e-06
31	3.754468e-06
32	3.759814e-06
33	3.958166e-06
34	3.730172e-06
35	3.783187e-06
36	3.960214e-06
37	3.743155e-06
38	3.853335e-06
39	3.979794e-06
40	3.779559e-06
41	3.948925e-06
42	3.997744e-06
43	3.814786e-06
44	4.039412e-06
45	3.992298e-06
46	3.826652e-06
47	4.099037e-06
48	3.950960e-06
49	3.806993e-06
50	4.117410e-06
51	3.877327e-06
52	3.765850e-06
53	4.101927e-06
54	3.789659e-06
55	3.726495e-06
56	4.071734e-06
57	3.712404e-06
58	3.714361e-06
59	4.047145e-06
60	3.665348e-06
61	3.745668e-06
62	4.040050e-06
63	3.655698e-06
64	3.820956e-06
65	4.049491e-06
66	3.676290e-06
67	3.925634e-06
68	4.063499e-06
69	3.709928e-06
70	4.036321e-06
71	4.065418e-06
72	3.737293e-06
73	4.129662e-06
74	4.041449e-06
75	3.744748e-06
76	4.189921e-06
77	3.986201e-06
78	3.728956e-06
79	4.212763e-06
80	3.904362e-06
81	3.696952e-06
82	4.204510e-06
83	3.808445e-06
84	3.662423e-06
85	4.178068e-06
86	3.714154e-06
87	3.640303e-06
88	4.147734e-06
89	3.635535e-06
90	3.642021e-06
91	4.124933e-06
92	3.581650e-06
93	3.672861e-06
94	4.116012e-06
95	3.555424e-06
96	3.731718e-06
97	4.122113e-06
98	3.554409e-06
99	3.812583e-06
100	4.140495e-06
101	3.572648e-06
102	3.906827e-06
103	4.166425e-06
104	3.602788e-06
105	4.005416e-06
106	4.194956e-06
107	3.637842e-06
108	4.100565e-06
109	4.222183e-06
110	3.672308e-06
