#Force	z_diff_mid	z_diff_end
-2.000000e-11	0.187350	0.661053
-1.990000e-11	0.186604	0.658151
-1.980000e-11	0.185859	0.655248
-1.970000e-11	0.185113	0.652344
-1.960000e-11	0.184368	0.649441
-1.950000e-11	0.183622	0.646536
-1.940000e-11	0.182876	0.643632
-1.930000e-11	0.182131	0.640727
-1.920000e-11	0.181385	0.637821
-1.910000e-11	0.180639	0.634915
-1.900000e-11	0.179894	0.632009
-1.890000e-11	0.179148	0.629102
-1.880000e-11	0.178402	0.626195
-1.870000e-11	0.177656	0.623287
-1.860000e-11	0.176910	0.620379
-1.850000e-11	0.176164	0.617470
-1.840000e-11	0.175418	0.614561
-1.830000e-11	0.174672	0.611652
-1.820000e-11	0.173926	0.608742
-1.810000e-11	0.173180	0.605831
-1.800000e-11	0.172434	0.602920
-1.790000e-11	0.171688	0.600009
-1.780000e-11	0.170942	0.597097
-1.770000e-11	0.170196	0.594185
-1.760000e-11	0.169450	0.591273
-1.750000e-11	0.168704	0.588360
-1.740000e-11	0.167958	0.585446
-1.730000e-11	0.167211	0.582532
-1.720000e-11	0.166465	0.579618
-1.710000e-11	0.165719	0.576703
-1.700000e-11	0.164972	0.573788
-1.690000e-11	0.164226	0.570872
-1.680000e-11	0.163480	0.567956
-1.670000e-11	0.162733	0.565040
-1.660000e-11	0.161987	0.562123
-1.650000e-11	0.161240	0.559205
-1.640000e-11	0.160494	0.556287
-1.630000e-11	0.159747	0.553369
-1.620000e-11	0.159001	0.550450
-1.610000e-11	0.158254	0.547531
-1.600000e-11	0.157508	0.544612
-1.590000e-11	0.156761	0.541692
-1.580000e-11	0.156014	0.538771
-1.570000e-11	0.155268	0.535850
-1.560000e-11	0.154521	0.532929
-1.550000e-11	0.153774	0.530007
-1.540000e-11	0.153027	0.527085
-1.530000e-11	0.152281	0.524162
-1.520000e-11	0.151534	0.521239
-1.510000e-11	0.150787	0.518315
-1.500000e-11	0.150040	0.515391
-1.490000e-11	0.149293	0.512467
-1.480000e-11	0.148546	0.509542
-1.470000e-11	0.147799	0.506616
-1.460000e-11	0.147052	0.503691
-1.450000e-11	0.146305	0.500764
-1.440000e-11	0.145558	0.497838
-1.430000e-11	0.144811	0.494911
-1.420000e-11	0.144064	0.491983
-1.410000e-11	0.143317	0.489055
-1.400000e-11	0.142570	0.486127
-1.390000e-11	0.141822	0.483198
-1.380000e-11	0.141075	0.480268
-1.370000e-11	0.140328	0.477339
-1.360000e-11	0.139581	0.474408
-1.350000e-11	0.138833	0.471478
-1.340000e-11	0.138086	0.468547
-1.330000e-11	0.137339	0.465615
-1.320000e-11	0.136591	0.462683
-1.310000e-11	0.135844	0.459751
-1.300000e-11	0.135096	0.456818
-1.290000e-11	0.134349	0.453884
-1.280000e-11	0.133601	0.450951
-1.270000e-11	0.132854	0.448017
-1.260000e-11	0.132106	0.445082
-1.250000e-11	0.131359	0.442147
-1.240000e-11	0.130611	0.439211
-1.230000e-11	0.129864	0.436275
-1.220000e-11	0.129116	0.433339
-1.210000e-11	0.128368	0.430402
-1.200000e-11	0.127620	0.427465
-1.190000e-11	0.126873	0.424527
-1.180000e-11	0.126125	0.421589
-1.170000e-11	0.125377	0.418650
-1.160000e-11	0.124629	0.415711
-1.150000e-11	0.123881	0.412772
-1.140000e-11	0.123133	0.409832
-1.130000e-11	0.122386	0.406891
-1.120000e-11	0.121638	0.403951
